,Unnamed: 0,conversation_id,lang,reply_settings,created_at,clean_text,text,author_id,referenced_tweets,id,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.impression_count,in_reply_to_user_id,geo.place_id,withheld.copyright,withheld.country_codes,geo.coordinates.type,geo.coordinates.coordinates,our_label
26971,31261,1633113891180797952,en,everyone,2023-03-07 14:34:28+00:00,rt repsummerlee fully supporting c statehood would look like trusting official people elected govern,RT @RepSummerLee: Fully supporting D.C. statehood would look like trusting the officials that the PEOPLE elected to govern.,1151827490601668608,"[{'type': 'retweeted', 'id': '1632854889893076993'}]",1633113891180797952,['1633113891180797954'],58,0,0,0,,,,,,,
28989,33279,1633871934109933568,en,everyone,2023-03-09 17:02:59+00:00,neimoeller nikkeiasia china would like ukraine cede ground hand xi know russia win war entire free world way china going jump fight russia must end good temper putin ability continue fight,"@neimoeller @NikkeiAsia China would like Ukraine to cede some ground, on the other hand, Xi know Russia can't win a war against the entire free world, and there is no way China is going to jump in and fight that with Russia. So it must end. This is good; it tempers Putin's ability to continue fight.",291336460,"[{'type': 'replied_to', 'id': '1633873935338184705'}]",1633876045006004224,['1633876045006004227'],0,0,0,8,1.5214665865819382e+18,,,,,,
14965,19255,1633658395826724864,en,everyone,2023-03-09 02:38:08+00:00,rt tomfitton obama knew clinton knew biden knew comey knew brennan knew mccabe knew strzok knew clapper knew schiff knew fbi knew,RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…,1548351462668787712,"[{'type': 'retweeted', 'id': '1633625411845345280'}]",1633658395826724864,['1633658395826724864'],3316,0,0,0,,,,,,,
26354,30644,1633147096189607936,en,everyone,2023-03-08 02:19:33+00:00,jorgeeaponte actbrigitte hey whether send dem rep get statehood representation,@JorgeEAponte @ACTBrigitte Hey whether they send a Dem or a Rep they should get statehood and representation. 👍,956217366597206016,"[{'type': 'replied_to', 'id': '1633160292501782529'}]",1633291332159520768,['1633291332159520768'],0,0,1,8,72682107.0,,,,,,
31892,36182,1633873758833213440,en,everyone,2023-03-09 16:53:54+00:00,rt uaweapons ukraine east russian telar advanced v air defence system tlar tor air,"RT @UAWeapons: #Ukraine: In the East, a Russian 9A83M2 TELAR of the advanced S-300V4 air defence system and a 9A331M TLAR of the Tor-M2 air…",45223235,"[{'type': 'retweeted', 'id': '1633866619293138946'}]",1633873758833213440,['1633873758833213458'],120,0,0,0,,,,,,,
7801,12091,1633964350829481984,en,everyone,2023-03-09 22:53:53+00:00,rt samanthajoallen asking chatgpt write thing like midwesterner secret joy know needed,RT @samanthajoallen: Asking #ChatGPT to write things like a midwesterner is a secret joy I didn't know I needed.,36104229,"[{'type': 'retweeted', 'id': '1633964239235735554'}]",1633964350829481984,['1633964350829481988'],2,0,0,0,,,,,,,
13337,17627,1633666072380407808,en,everyone,2023-03-09 03:08:38+00:00,rt eladnehorai many liberal sleeping rising fascism national political win obama,"RT @EladNehorai: Too many liberals are sleeping on rising fascism because of a few national political wins, just as they did when Obama was…",1245473533,"[{'type': 'retweeted', 'id': '1633632434972663808'}]",1633666072380407808,['1633666072380407808'],337,0,0,0,,,,,,,
16889,21179,1633649703849177088,en,everyone,2023-03-09 02:03:35+00:00,hugh jenkins studio art glass vase punahou barack obama vtg honolulu hawaii http co obvgzmdkew ebay http co ptqh hhs,1978 HUGH JENKINS studio art glass vase punahou barack obama vtg honolulu hawaii https://t.co/ObVGzmDKeW eBay https://t.co/pTQh3hhSs0,1374142045170765824,,1633649703849177088,['1633649703849177088'],0,0,0,3,,,,,,,
20118,24408,1633671820124782592,en,everyone,2023-03-09 03:31:28+00:00,rt voanews ukraine president volodymyr zelenskyy u n secretary general antonio guterres shake hand joint news briefing,RT @VOANews: 📷: Ukraine's President Volodymyr Zelenskyy and U.N. Secretary-General Antonio Guterres shake hands after a joint news briefing…,1591457981484306432,"[{'type': 'retweeted', 'id': '1633494029651574785'}]",1633671820124782592,['1633671820124782593'],4,0,0,0,,,,,,,
22544,26834,1633893927504818176,en,everyone,2023-03-09 18:14:03+00:00,rt shaunmwing adambienkov braverman immigrationlaw exacts law revocation naturalisation amp deprivation,RT @shaunmwing: @AdamBienkov Braverman's immigrationLaw exacts the 1933 'Law on the Revocation of Naturalisations &amp; the Deprivation of the…,4154078897,"[{'type': 'retweeted', 'id': '1633893468161421312'}]",1633893927504818176,['1633893927504818177'],2,0,0,0,,,,,,,
24476,28766,1633650385968672768,en,everyone,2023-03-09 02:06:18+00:00,rt tomfitton breaking historic repudiation leftist dc statehood agenda soft crime radicalism u senate vote incl,"RT @TomFitton: Breaking: In a historic repudiation of leftist DC statehood agenda and soft-on-crime radicalism, US Senate votes 81-14 (incl…",1518982492610613248,"[{'type': 'retweeted', 'id': '1633641088253665282'}]",1633650385968672768,['1633650385968672769'],380,0,0,0,,,,,,,
19901,24191,1633672217832595456,en,everyone,2023-03-09 03:33:03+00:00,rt dom lucre february russian economist valentin katasonov america besieged russia placing bio lab surrounding co,"RT @dom_lucre: On February 28, 2022, Russian Economist Valentin Katasonov: 

“America Besieged Russia By Placing Bio-Labs In Surrounding Co…",4198825625,"[{'type': 'retweeted', 'id': '1633670000396435461'}]",1633672217832595456,['1633672217832595457'],135,0,0,0,,,,,,,
10739,15029,1633940835397173248,en,everyone,2023-03-09 21:20:26+00:00,new post hacker news google dust failed google playbook fight chatgpt http co ksccwaipea,New post up at Hacker News! Google dusts off the failed Google+ playbook to fight ChatGPT https://t.co/kSCCWaIPea,3019086104,,1633940835397173248,['1633940835397173248'],0,0,0,3,,,,,,,
11107,15397,1633669393132519424,en,everyone,2023-03-09 03:21:50+00:00,rt sethabramson wp coercive conservatism run rampant maga continues shed snakeskin revealing big government agenda,"RT @SethAbramson: WP: “Coercive Conservatism” Runs Rampant

MAGA continues to shed its snakeskin, revealing the BIG GOVERNMENT agenda it’s…",16315143,"[{'type': 'retweeted', 'id': '1633667862576373763'}]",1633669393132519424,['1633669393132519427'],43,0,0,0,,,,,,,
7518,11808,1633959384148484096,en,everyone,2023-03-09 23:03:53+00:00,aaron hedlund chatgpt permanentequity timhanso brentbeshore least one portco already operationalized use weekly going happen fast,@aaron_hedlund @ChatGPT @PermanentEquity @timhanso @BrentBeshore At least one portco has already operationalized it. I use it weekly. It's going to happen fast.,180876316,"[{'type': 'replied_to', 'id': '1633959384148484098'}]",1633966869135740928,['1633966869135740928'],0,2,1,151,360052655.0,,,,,,
30198,34488,1633875103502209024,en,everyone,2023-03-09 16:59:15+00:00,rt jonpopmemes joe biden visited ukraine east palestine ohio http co h ohjewan,RT @jonpopmemes: Joe Biden visited Ukraine before East Palestine Ohio! 🇺🇲🇺🇦 https://t.co/H5ohjEWaN7,915192618,"[{'type': 'retweeted', 'id': '1627699675250966529'}]",1633875103502209024,['1633875103502209027'],116,0,0,0,,,,,,,
29873,34163,1633875332963893248,en,everyone,2023-03-09 17:00:09+00:00,rt laralogan traitor key trump impeachment witness busted dealing lucrative defense contract ukraine http co hjddw ktcm,"RT @laralogan: Traitor. 

Key Trump Impeachment Witness Busted For Dealing Lucrative Defense Contracts in Ukraine https://t.co/Hjddw6KtCM",2923274295,"[{'type': 'retweeted', 'id': '1633725935848677381'}]",1633875332963893248,['1633875332963893256'],1699,0,0,0,,,,,,,
20907,25197,1633670607127576576,en,everyone,2023-03-09 03:26:39+00:00,rt badged patriot russia absolutely pounding every single area ukraine right largest strike since war began,RT @Badged_Patriot: Russia is absolutely pounding every single area of Ukraine right now with the largest strike since the war began and no…,1559307496854020096,"[{'type': 'retweeted', 'id': '1633667040174125063'}]",1633670607127576576,['1633670607127576576'],15,0,0,0,,,,,,,
24764,29054,1633632826808496128,en,everyone,2023-03-09 00:56:31+00:00,rt reppressley dc right self govern pas law truly keep community safe harmful action congress,"RT @RepPressley: DC has the right to self-govern and pass laws that truly keep our communities safe.

This harmful action by Congress is a…",925110724749295616,"[{'type': 'retweeted', 'id': '1633628487318745089'}]",1633632826808496128,['1633632826808496128'],80,0,0,0,,,,,,,
21850,26140,1633266420233428992,en,everyone,2023-03-09 03:20:32+00:00,loujersey razorbackron deviantcrypto cheeseslave bennyjohnson lose trump loser thanks russia lost house senate red wave turned trickle democrat retained senate key governorship still want vote loser sad,"@LouJersey3 @RazorbackRon56 @DeviantCrypto @cheeseslave2 @bennyjohnson So he can lose again? Trump is a LOSER. He won in 2016 thanks to Russia, then lost the House and the Senate in 2020, and the 2022 ""red wave"" turned out to be a trickle as the Democrats retained the Senate and won key Governorships. You still want to vote for this loser? Sad.",1523684454186684416,"[{'type': 'replied_to', 'id': '1633284288757080065'}]",1633669068233515008,['1633669068233515008'],0,1,0,13,1.4469389954395914e+18,,,,,,
15132,19422,1633657505308917760,en,everyone,2023-03-09 02:34:35+00:00,rt tomfitton obama knew clinton knew biden knew comey knew brennan knew mccabe knew strzok knew clapper knew schiff knew fbi knew,RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…,3013525133,"[{'type': 'retweeted', 'id': '1633625411845345280'}]",1633657505308917760,['1633657505308917761'],3316,0,0,0,,,,,,,
2377,2377,1633166143538995200,en,everyone,2023-03-07 18:02:06+00:00,rt sagesurge marlon wayans roasting chris rock smith slap selectiveoutrage chrisrocklive chrisrock chrisrocknetflix,"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…",794965865951326208,"[{'type': 'retweeted', 'id': '1632525319973289985'}]",1633166143538995200,['1633166143538995200'],9130,0,0,0,,,,,,,
6281,10571,1633979186757943296,en,everyone,2023-03-09 23:52:50+00:00,rt april isblue chatgpt find bedroom victorian apartment balcony near jean talon metro,RT @april_isblue: can chatgpt find me a 4 bedroom victorian apartment with a balcony near jean talon metro ?,2885706783,"[{'type': 'retweeted', 'id': '1633978180817002502'}]",1633979186757943296,['1633979186757943296'],1,0,0,0,,,,,,,
9514,13804,1633950161700286464,en,everyone,2023-03-09 21:57:30+00:00,rt sebastienb know chatgpt communicate kreyol http co csndfpgumn,RT @sebastienb: Did you know chatGPT can communicate with you in Kreyol? https://t.co/cSndFPGUmn,746307966,"[{'type': 'retweeted', 'id': '1633869852690743296'}]",1633950161700286464,['1633950161700286469'],2,0,0,0,,,,,,,
5829,10119,1633983836844351488,en,everyone,2023-03-10 00:11:19+00:00,rt dakara prisoner creative work done ai human posting social medium look created prompt,"RT @dakara_prisoner: All creative works will be done by #AI, with some human posting on their social media, ""look what I created"".

#prompt…",15777195,"[{'type': 'retweeted', 'id': '1633484369951178752'}]",1633983836844351488,['1633983836844351488'],2,0,0,0,,,,,,,
21869,26159,1633669043772178432,en,everyone,2023-03-09 03:20:26+00:00,rt defensepolitics russia invaded ukraine talk failed,RT @DefensePolitics: Russia invaded Ukraine after talks failed.,54248938,"[{'type': 'retweeted', 'id': '1633352794085396481'}]",1633669043772178432,['1633669043772178432'],4,0,0,0,,,,,,,
5286,5286,1633511335605436416,en,everyone,2023-03-08 16:53:46+00:00,fired atl pd mishandled investigation oversaw task force beat tyrenichols death ytd approx k stolen car memphis crime sky high ppl trust mpd cerelyndavis internationalwomensday womensday marchwomensday http co lvfaufuu c,"- Fired from ATL PD for mishandled investigations
- Oversaw the task force that beat #TyreNichols to death
- 2023 YTD: We have approx 3k stolen cars in Memphis
- Crime is sky high; Ppl don't trust her or the MPD

#CerelynDavis
#InternationalWomensDay #WomensDay #8MarchWomensDay https://t.co/LvfaUfUU9C",1552295848519913472,"[{'type': 'quoted', 'id': '1627622695142670336'}]",1633511335605436416,['1633511335605436416'],0,2,3,45,,,,,,,
6638,10928,1633860200594587648,en,everyone,2023-03-09 23:39:43+00:00,parrotlyfinance see good source value metaverse chatgpt somehow record every aspect life voice facial expression body language personality literally everything make person die could essentially live forever digitally,"@ParrotlyFinance Here's where I see a good source of value in the metaverse. ChatGPT somehow records every aspect of your life...voice, facial expression, body language, personality, literally everything that makes you the person you are. When you die you could essentially live forever digitally",1623377716459278336,"[{'type': 'replied_to', 'id': '1633974041802317831'}]",1633975884750127104,['1633975884750127105'],0,1,0,8,1.4741018438779003e+18,,,,,,
643,643,1633429724973223936,en,everyone,2023-03-08 11:29:28+00:00,rt thewantonwench say need break harry meghan welcome hope back via chrisro,"RT @TheWantonWench: When you say “I need a break from Harry and Meghan and this is what welcomes you, when you hope back in 🤣🤣
Via #ChrisRo…",1362888253242830848,"[{'type': 'retweeted', 'id': '1632893264494772226'}]",1633429724973223936,['1633429724973223937'],83,0,0,0,,,,,,,
2433,2433,1633162138628812800,en,everyone,2023-03-07 17:46:11+00:00,rt sagesurge marlon wayans roasting chris rock smith slap selectiveoutrage chrisrocklive chrisrock chrisrocknetflix,"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…",3045601355,"[{'type': 'retweeted', 'id': '1632525319973289985'}]",1633162138628812800,['1633162138628812812'],9130,0,0,0,,,,,,,
3744,3744,1633076751466201088,en,everyone,2023-03-07 12:06:53+00:00,rt sagesurge marlon wayans roasting chris rock smith slap selectiveoutrage chrisrocklive chrisrock chrisrocknetflix,"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…",1265361058803462144,"[{'type': 'retweeted', 'id': '1632525319973289985'}]",1633076751466201088,['1633076751466201088'],9130,0,0,0,,,,,,,
17171,21461,1633676619981127680,en,everyone,2023-03-09 03:50:33+00:00,rt peterbakernyt trump tell hannity radio show would willing let russia take part ukraine h,"RT @peterbakernyt: Trump tells Hannity on his radio show that he would have been willing to let Russia ""take over"" parts of Ukraine while h…",4738352422,"[{'type': 'retweeted', 'id': '1633604224843120640'}]",1633676619981127680,['1633676619981127682'],1179,0,0,0,,,,,,,
20683,24973,1633655401383178240,en,everyone,2023-03-09 03:28:07+00:00,giorgigab chrmail russia tactic info sow doubt division people propaganda take land go home georgian people fight evil russia fukin,"@GiorgiGab @ChrMail that is a russia tactic ... just for info.. to sow doubt, division in your people, with propaganda to take over your lands.. just go home Georgian people, or fight against the evil of russia that is fukin with you all..",1616074617063641088,"[{'type': 'replied_to', 'id': '1633670242525401088'}]",1633670976046256128,['1633670976046256130'],0,0,0,3,1.616074617063641e+18,,,,,,
14394,18684,1633661271454404608,en,everyone,2023-03-09 02:49:33+00:00,rt gregrubini killing people small crime police officer good question ukraine,"RT @GregRubini: 16. killing 100 people is not a small crime.
and 40 of them were police officers.

a good question now is: 
will Ukraine as…",1052438404456169472,"[{'type': 'retweeted', 'id': '1223222943016280064'}]",1633661271454404608,['1633661271454404609'],1194,0,0,0,,,,,,,
21929,26219,1633668936477601792,en,everyone,2023-03-09 03:20:01+00:00,rt nonamamulashvi matter hard russia try destroy future georgia future european keep fighting,"RT @NonaMamulashvi: No matter how hard Russia tries to destroy our future, Georgia’s future is European and we will keep fighting for it! #…",2984702225,"[{'type': 'retweeted', 'id': '1633368229883129856'}]",1633668936477601792,['1633668936477601792'],897,0,0,0,,,,,,,
7212,11502,1633970131259858944,en,everyone,2023-03-09 23:16:51+00:00,rt mtaibbi chatgpt testified would called direct threat lol,"RT @mtaibbi: If ChatGPT testified to this it would have been called a “direct threat,” too lol.",1497718105119862784,"[{'type': 'retweeted', 'id': '1633934237815431168'}]",1633970131259858944,['1633970131259858944'],455,0,0,0,,,,,,,
3840,3840,1633068906100273152,en,everyone,2023-03-07 11:35:42+00:00,rt sagesurge marlon wayans roasting chris rock smith slap selectiveoutrage chrisrocklive chrisrock chrisrocknetflix,"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…",81613075,"[{'type': 'retweeted', 'id': '1632525319973289985'}]",1633068906100273152,['1633068906100273153'],9130,0,0,0,,,,,,,
18671,22961,1633604224843120640,en,everyone,2023-03-09 03:41:30+00:00,mightyfetta peterbakernyt justinbaragona mean pissed cause defend trump russia invaded ukraine twice last decade guess president,"@MightyFetta @peterbakernyt @justinbaragona I mean, I'm now pissed at you cause I have to defend Trump, but Russia has invaded Ukraine twice in the last decade.

Guess who the President was when he didn't do that?",2242790125,"[{'type': 'replied_to', 'id': '1633620244328771585'}]",1633674346039320576,['1633674346039320579'],0,0,0,26,1.3741837623306732e+18,,,,,,
15871,20161,1633653904675094528,en,everyone,2023-03-09 02:20:17+00:00,rt tomfitton obama knew clinton knew biden knew comey knew brennan knew mccabe knew strzok knew clapper knew schiff knew fbi knew,RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…,1530990859524706304,"[{'type': 'retweeted', 'id': '1633625411845345280'}]",1633653904675094528,['1633653904675094528'],3317,0,0,0,,,,,,,
1948,1948,1633199856498929664,en,everyone,2023-03-07 20:16:03+00:00,rt sagesurge marlon wayans roasting chris rock smith slap selectiveoutrage chrisrocklive chrisrock chrisrocknetflix,"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…",1026897529517080576,"[{'type': 'retweeted', 'id': '1632525319973289985'}]",1633199856498929664,['1633199856498929665'],9130,0,0,0,,,,,,,
15621,19911,1633655040232640512,en,everyone,2023-03-09 02:24:48+00:00,rt gregrubini karilake wendyrogers sonnyborrelli repandybiggsaz repmtg obama john brennan cia director,"RT @GregRubini: @KariLake @wendyrogers @SonnyBorrelli @RepAndyBiggsAZ @RepMTG 28) Between 2010 and 2014, Obama, John Brennan (CIA Director)…",1592456048060817408,"[{'type': 'retweeted', 'id': '1632853056583860224'}]",1633655040232640512,['1633655040232640514'],95,0,0,0,,,,,,,
21942,26232,1633668904399798272,en,everyone,2023-03-09 03:19:53+00:00,rt adamkinzinger russia launching missile kill civilian yet people believe ukraine responsible war,"RT @AdamKinzinger: Russia once again launching missiles to kill civilians.  

Yet some people believe UKRAINE is responsible for this war?!…",1947900260,"[{'type': 'retweeted', 'id': '1633640638959714306'}]",1633668904399798272,['1633668904399798272'],521,0,0,0,,,,,,,
19433,23723,1633673025320259584,en,everyone,2023-03-09 03:36:16+00:00,rt rohini sgh breaking news noida channel russia going attack usa world exclusive,RT @rohini_sgh: Breaking news from Noida channels- Russia is going to attack USA. World exclusive. 🤣,1319517720740728832,"[{'type': 'retweeted', 'id': '1633530565386199046'}]",1633673025320259584,['1633673025320259584'],199,0,0,0,,,,,,,
16982,21272,1633649307671830528,en,everyone,2023-03-09 02:02:01+00:00,rt judicialwatch trump would driven office deep state biden obama clinton gang judicial watch taken lead e,"RT @JudicialWatch: ""Trump would have been driven out of office by Deep State/Biden/Obama/Clinton gang if Judicial Watch hadn’t taken lead e…",1607146641219264512,"[{'type': 'retweeted', 'id': '1633648806506950656'}]",1633649307671830528,['1633649307671830530'],105,0,0,0,,,,,,,
2539,2539,1633155479638536192,en,everyone,2023-03-07 17:19:43+00:00,rt sagesurge marlon wayans roasting chris rock smith slap selectiveoutrage chrisrocklive chrisrock chrisrocknetflix,"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…",4294985413,"[{'type': 'retweeted', 'id': '1632525319973289985'}]",1633155479638536192,['1633155479638536209'],9130,0,0,0,,,,,,,
14262,18552,1633661898301534208,en,everyone,2023-03-09 02:52:03+00:00,rt occupydemocrats breaking michelle obama amal clooney melinda french gate team like avenger pen op ed demanding,"RT @OccupyDemocrats: BREAKING: Michelle Obama, Amal Clooney, and Melinda French Gates team up like the Avengers to pen an op-ed demanding a…",23669134,"[{'type': 'retweeted', 'id': '1633555456559030272'}]",1633661898301534208,['1633661898301534208'],748,0,0,0,,,,,,,
5209,5209,1633610295141859328,en,everyone,2023-03-08 23:27:00+00:00,know training policy problem culture officer involved acted way allegiance rather allegiance community training law rashad richey memphis release new tyrenichols arrest footage http co bls cnvmqj,"""They know training and policy are not the problems; it is the CULTURE. All officers involved acted the same way, in allegiance to each other, rather than allegiance to the community, their training, or the law."" @Rashad_Richey 
Memphis to release New #TyreNichols arrest footage. https://t.co/Bls0cNvMqJ",1395874399773995008,,1633610295141859328,['1633610295141859329'],12,1,33,3344,,,,,,,
26745,31035,1633189244003917824,en,everyone,2023-03-07 19:33:53+00:00,rt repsummerlee fully supporting c statehood would look like trusting official people elected govern,RT @RepSummerLee: Fully supporting D.C. statehood would look like trusting the officials that the PEOPLE elected to govern.,1234647785758019584,"[{'type': 'retweeted', 'id': '1632854889893076993'}]",1633189244003917824,['1633189244003917828'],58,0,0,0,,,,,,,
6232,10522,1633979724132421632,en,everyone,2023-03-09 23:54:58+00:00,rt aihandbook chatgpt triple productivity time collected best chatgpt prompt enhance life,"RT @AiHandbook: ChatGPT can triple productivity.

Over time, we’ve collected 500+ of the Best ChatGPT prompts to enhance your life.

We’re…",1485686212924887040,"[{'type': 'retweeted', 'id': '1633727109192458240'}]",1633979724132421632,['1633979724132421632'],1355,0,0,0,,,,,,,
4396,4396,1633015417416417280,en,everyone,2023-03-07 08:03:10+00:00,rt sagesurge marlon wayans roasting chris rock smith slap selectiveoutrage chrisrocklive chrisrock chrisrocknetflix,"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…",1069789388320649216,"[{'type': 'retweeted', 'id': '1632525319973289985'}]",1633015417416417280,['1633015417416417282'],9130,0,0,0,,,,,,,
26997,31287,1633108903159382016,en,everyone,2023-03-07 14:14:38+00:00,rt juddlegum joebiden statehood bill course pas dc council approved first comprehensive overhaul,"RT @JuddLegum: @JoeBiden 4. The statehood bill, of course, did not pass. After the DC Council approved the first comprehensive overhaul of…",16077540,"[{'type': 'retweeted', 'id': '1633106289151680512'}]",1633108903159382016,['1633108903159382017'],16,0,0,0,,,,,,,
20753,25043,1633670866365214720,en,everyone,2023-03-09 03:27:41+00:00,joebiden kamalaharris allow russian immigration united state america russian federation unfairly sanctioned administration undo wrong allow immigration russia united state america immigration,@JoeBiden and @KamalaHarris can  you allow Russian immigration into the United  States of America now. The Russian Federation was unfairly sanctioned by your administration. Undo a wrong and allow immigration from Russia to the United States of America.  #Immigration,1519881140907044864,,1633670866365214720,['1633670866365214721'],0,0,0,0,939091.0,,,,,,
24207,28497,1633673301917683712,en,everyone,2023-03-09 03:37:22+00:00,rt esmiller embarrassingly short list turn dems really never cared dc self determination beyond getting mo,RT @ESMiller59: This is an embarrassingly short list. Turns out the Dems really never cared about DC self determination beyond getting 2 mo…,430383763,"[{'type': 'retweeted', 'id': '1633658417096142851'}]",1633673301917683712,['1633673301917683712'],4,0,0,0,,,,,,,
