	conversation_id	lang	reply_settings	created_at	text	author_id	referenced_tweets	id	edit_history_tweet_ids	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count	in_reply_to_user_id	geo.place_id	withheld.copyright	withheld.country_codes	polarity_score	roberta_label	roberta_score	roberta_negative	roberta_neutral	roberta_positive	roberta_argmax
10	1633944472466735104	en	everyone	2023-03-09 21:34:54+00:00	rt  infantry_bucky hes lucky a #chrisrocklive was the worse thing that happened to him  and hes still crying  what a strange charact	1225577939628105728	[{'type': 'retweeted', 'id': '1633938373529292802'}]	1633944472466735104	['1633944472466735105']	8	0	0	0	0					{'neg': 0.292, 'neu': 0.613, 'pos': 0.095, 'compound': -0.6988}	negative		0.7303268	0.22826421	0.041408956	0.730326771736145
11	1633944147114487808	en	everyone	2023-03-09 21:33:36+00:00	rt  infantry_bucky hes lucky a #chrisrocklive was the worse thing that happened to him  and hes still crying  what a strange charact	1587121422132039680	[{'type': 'retweeted', 'id': '1633938373529292802'}]	1633944147114487808	['1633944147114487820']	8	0	0	0	0					{'neg': 0.292, 'neu': 0.613, 'pos': 0.095, 'compound': -0.6988}	negative		0.7303268	0.22826421	0.041408956	0.730326771736145
12	1633942392339398656	en	everyone	2023-03-09 21:26:38+00:00	rt  infantry_bucky hes lucky a #chrisrocklive was the worse thing that happened to him  and hes still crying  what a strange charact	437915633	[{'type': 'retweeted', 'id': '1633938373529292802'}]	1633942392339398656	['1633942392339398658']	8	0	0	0	0					{'neg': 0.292, 'neu': 0.613, 'pos': 0.095, 'compound': -0.6988}	negative		0.7303268	0.22826421	0.041408956	0.730326771736145
13	1633941881313980416	en	everyone	2023-03-09 21:24:36+00:00	rt  chrisrock get ready mynext standup special selective outrage will be streaming live on netflix march 4 at 10pm et 7pm pt #chrisroc	1432136455485149184	[{'type': 'retweeted', 'id': '1607051315276021760'}]	1633941881313980416	['1633941881313980416']	695	0	0	0	0					{'neg': 0.12, 'neu': 0.691, 'pos': 0.189, 'compound': 0.2263}	neutral		0.008128928	0.7536299	0.23824115	0.7536299228668213
14	1633941867904790528	en	everyone	2023-03-09 21:24:33+00:00	rt  netflixisajoke less than 24 hours  chrisrock selective outragenetflixs first live global event #chrisrocklive https  tco fpfeqtj	1594421944283037696	[{'type': 'retweeted', 'id': '1631851960268734466'}]	1633941867904790528	['1633941867904790528']	203	0	0	0	0					{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.5106}	neutral		0.017292101	0.8739373	0.10877049	0.8739373087882996
15	1633941856223637504	en	everyone	2023-03-09 21:24:30+00:00	rt  netflixisajoke less than 24 hours  chrisrock selective outragenetflixs first live global event #chrisrocklive https  tco fpfeqtj	1432136455485149184	[{'type': 'retweeted', 'id': '1631851960268734466'}]	1633941856223637504	['1633941856223637504']	203	0	0	0	0					{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.5106}	neutral		0.017292101	0.8739373	0.10877049	0.8739373087882996
16	1633941818055471104	en	everyone	2023-03-09 21:24:21+00:00	rt  netflix netflix is a joke gives you an exclusive look at  chrisrocks year on tour leading up to this historic night https  tco wv4n	1594421944283037696	[{'type': 'retweeted', 'id': '1632033405587292161'}]	1633941818055471104	['1633941818055471104']	231	0	0	0	0					{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.4019}	neutral		0.20528518	0.59482986	0.19988504	0.5948298573493958
17	1633941785264402432	en	everyone	2023-03-09 21:24:13+00:00	rt  netflix netflix is a joke gives you an exclusive look at  chrisrocks year on tour leading up to this historic night https  tco wv4n	1432136455485149184	[{'type': 'retweeted', 'id': '1632033405587292161'}]	1633941785264402432	['1633941785264402432']	231	0	0	0	0					{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.4019}	neutral		0.20528518	0.59482986	0.19988504	0.5948298573493958
18	1633941542464368640	en	everyone	2023-03-09 21:23:15+00:00	rt  1_ofakindnocap chris rock we all been cheated on but we never had the person who cheated on us interview us on tv i sucked his 	1419729072272388096	[{'type': 'retweeted', 'id': '1632283297588948995'}]	1633941542464368640	['1633941542464368643']	616	0	0	0	0					{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.891}	negative		0.87597626	0.11714716	0.006876567	0.8759762644767761
19	1633940779189121024	en	everyone	2023-03-09 21:20:13+00:00	rt  1_ofakindnocap chris rock we all been cheated on but we never had the person who cheated on us interview us on tv i sucked his 	1385142895	[{'type': 'retweeted', 'id': '1632283297588948995'}]	1633940779189121024	['1633940779189121026']	616	0	0	0	0					{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.891}	negative		0.87597626	0.11714716	0.006876567	0.8759762644767761
20	1633940257572806656	en	everyone	2023-03-09 21:18:09+00:00	rt  infantry_bucky hes lucky a #chrisrocklive was the worse thing that happened to him  and hes still crying  what a strange charact	630048152	[{'type': 'retweeted', 'id': '1633938373529292802'}]	1633940257572806656	['1633940257572806661']	8	0	0	0	0					{'neg': 0.292, 'neu': 0.613, 'pos': 0.095, 'compound': -0.6988}	negative		0.7303268	0.22826421	0.041408956	0.730326771736145
21	1633939667241320448	en	everyone	2023-03-09 21:15:48+00:00	rt  infantry_bucky hes lucky a #chrisrocklive was the worse thing that happened to him  and hes still crying  what a strange charact	1561715009394180096	[{'type': 'retweeted', 'id': '1633938373529292802'}]	1633939667241320448	['1633939667241320455']	8	0	0	0	0					{'neg': 0.292, 'neu': 0.613, 'pos': 0.095, 'compound': -0.6988}	negative		0.7303268	0.22826421	0.041408956	0.730326771736145
22	1633939403184955392	en	everyone	2023-03-09 21:14:45+00:00	rt  sagesurge marlon wayans roasting chris rock about the will smith slap#selectiveoutrage #chrisrocklive #chrisrock #chrisrocknetflix	140184230	[{'type': 'retweeted', 'id': '1632525319973289985'}]	1633939403184955392	['1633939403184955393']	9130	0	0	0	0					{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.1531}	neutral		0.15525307	0.7643216	0.080425225	0.7643216252326965
23	1633938821820690432	en	everyone	2023-03-09 21:12:26+00:00	rt  netflixisajoke less than 24 hours  chrisrock selective outragenetflixs first live global event #chrisrocklive https  tco fpfeqtj	2731406391	[{'type': 'retweeted', 'id': '1631851960268734466'}]	1633938821820690432	['1633938821820690434']	203	0	0	0	0					{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.5106}	neutral		0.017292101	0.8739373	0.10877049	0.8739373087882996
24	1633938599275118592	en	everyone	2023-03-09 21:11:33+00:00	rt  tasterreblanche  sagesurge he also said #chrisrockselectiveoutrage  #chrisrocklive https  tco 26mm0n2yv5	840029209003212800	[{'type': 'retweeted', 'id': '1632830373305409538'}]	1633938599275118592	['1633938599275118592']	237	0	0	0	0					{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	neutral		0.07427032	0.86184996	0.06387975	0.8618499636650085
25	1633938373529292800	en	everyone	2023-03-09 21:10:40+00:00	hes lucky a #chrisrocklive was the worse thing that happened to him  and hes still crying  what a strange character https  tco bq3kdyvgpj	1502668599881785344		1633938373529292800	['1633938373529292802']	8	7	32	1	832					{'neg': 0.302, 'neu': 0.599, 'pos': 0.099, 'compound': -0.6988}	negative		0.6035468	0.31581384	0.080639414	0.6035467982292175
26	1633891419453550592	en	everyone	2023-03-09 20:56:07+00:00	 people evicted  clinging to royal connections for dear life  and staged pap shots  if this doesnt scream zlist south park and #chrisrocklive got new material just saying #waaagh #worldwideprivacytour #harryandmeghanarehypocrites #meghanmarkleisanarcissist https  tco qhyxw0miuh	1247670984431280128	[{'type': 'replied_to', 'id': '1633891419453550592'}]	1633934714418413568	['1633934714418413568']	0	0	1	0	320	25589776.0				{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.5938}	negative		0.7705236	0.21430802	0.015168426	0.7705236077308655
27	1633933865814470656	en	everyone	2023-03-09 20:52:45+00:00	rt  1_ofakindnocap chris rock we all been cheated on but we never had the person who cheated on us interview us on tv i sucked his 	2273622739	[{'type': 'retweeted', 'id': '1632283297588948995'}]	1633933865814470656	['1633933865814470657']	616	0	0	0	0					{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.891}	negative		0.87597626	0.11714716	0.006876567	0.8759762644767761
28	1633932443274162176	en	everyone	2023-03-09 20:47:06+00:00	rt  sagesurge marlon wayans roasting chris rock about the will smith slap#selectiveoutrage #chrisrocklive #chrisrock #chrisrocknetflix	133598452	[{'type': 'retweeted', 'id': '1632525319973289985'}]	1633932443274162176	['1633932443274162179']	9130	0	0	0	0					{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.1531}	neutral		0.15525307	0.7643216	0.080425225	0.7643216252326965
29	1633931528307888128	en	everyone	2023-03-09 20:43:27+00:00	rt  sagesurge marlon wayans roasting chris rock about the will smith slap#selectiveoutrage #chrisrocklive #chrisrock #chrisrocknetflix	1373260936618766336	[{'type': 'retweeted', 'id': '1632525319973289985'}]	1633931528307888128	['1633931528307888128']	9130	0	0	0	0					{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.1531}	neutral		0.15525307	0.7643216	0.080425225	0.7643216252326965
30	1633930903314366464	en	everyone	2023-03-09 20:40:58+00:00	rt  mallyinmind chris rock calls jada pinkett a b+h now if will smith smittacks tf outta you again  https  tco dzzif7ymih via	825551410280427520	[{'type': 'retweeted', 'id': '1633710252607561728'}]	1633930903314366464	['1633930903314366464']	1	0	0	0	0					{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	negative		0.5368964	0.43045738	0.032646254	0.5368964076042175
31	1633930881923444736	en	everyone	2023-03-09 20:40:53+00:00	rt  mallyinmind chris rock calls jada pinkett a b+h now if will smith smittacks tf outta you again  https  tco dzzif7ymih via	825551410280427520	[{'type': 'retweeted', 'id': '1633710296870137856'}]	1633930881923444736	['1633930881923444737']	1	0	0	0	0					{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	negative		0.5368964	0.43045738	0.032646254	0.5368964076042175
32	1633930755255541760	en	everyone	2023-03-09 20:40:23+00:00	rt  mallyinmind now if will smith smittacks tf outta you again  chris rock calls jada pinkett a b+h  https  tco q9yk8o49ah vi	825551410280427520	[{'type': 'retweeted', 'id': '1633836358300229633'}]	1633930755255541760	['1633930755255541768']	0	0	0	0	0					{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	neutral		0.45159987	0.5087357	0.039664403	0.508735716342926
33	1633930326425714688	en	everyone	2023-03-09 20:38:41+00:00	rt  sagesurge marlon wayans roasting chris rock about the will smith slap#selectiveoutrage #chrisrocklive #chrisrock #chrisrocknetflix	1193265489935577088	[{'type': 'retweeted', 'id': '1632525319973289985'}]	1633930326425714688	['1633930326425714689']	9130	0	0	0	0					{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.1531}	neutral		0.15525307	0.7643216	0.080425225	0.7643216252326965
34	1633929301182631936	en	everyone	2023-03-09 20:34:36+00:00	rt  sagesurge marlon wayans roasting chris rock about the will smith slap#selectiveoutrage #chrisrocklive #chrisrock #chrisrocknetflix	1520511808758591488	[{'type': 'retweeted', 'id': '1632525319973289985'}]	1633929301182631936	['1633929301182631936']	9130	0	0	0	0					{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.1531}	neutral		0.15525307	0.7643216	0.080425225	0.7643216252326965
35	1633928357179015168	en	everyone	2023-03-09 20:30:51+00:00	no  hes just a big baby  baby#chrisrock #chrisrocklive https  tco 7ihzb6z04e	228931560		1633928357179015168	['1633928357179015168']	0	0	0	0	18					{'neg': 0.238, 'neu': 0.762, 'pos': 0.0, 'compound': -0.3595}	neutral		0.03454366	0.5834208	0.38203546	0.5834208130836487
36	1633926636088205312	en	everyone	2023-03-09 20:24:01+00:00	rt  mywanderingeyes no wonder no one likes #netflix i just joined for the express reason of watching #chrisrocklive however cant take the	1400623684008792064	[{'type': 'retweeted', 'id': '1633926597446098944'}]	1633926636088205312	['1633926636088205315']	1	0	0	0	0					{'neg': 0.175, 'neu': 0.714, 'pos': 0.111, 'compound': -0.1531}	negative		0.7556893	0.21477486	0.029535744	0.7556893229484558
37	1633926597446098944	en	everyone	2023-03-09 20:23:52+00:00	no wonder no one likes #netflix i just joined for the express reason of watching #chrisrocklive however cant take the #netflix baloney on their website amp  their online out of the usa people so before i even start with them i am closing the acct maybe youtube will carry it	1400623684008792064		1633926597446098944	['1633926597446098944']	1	0	1	0	8					{'neg': 0.086, 'neu': 0.859, 'pos': 0.055, 'compound': -0.1531}	negative		0.83471006	0.1509002	0.014389769	0.8347100615501404
38	1632302386697113600	en	everyone	2023-03-09 20:20:27+00:00	your future  your choice  kck foods  #kcklibrary #relax #eat #drink #happybirthday #music #mountfuji #chrisrocklive #concertphotography  #cruisenorwegian #travel#skyykongberg #kckcharity #usa #usan #usa #skyyvideos #amazonprimevideo #usanews https  tco q3rw3qdpf0	4905139818	[{'type': 'replied_to', 'id': '1632302386697113600'}]	1633925737609834496	['1633925737609834496']	0	0	0	0	1	4905139818.0				{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	positive		0.008782807	0.3595829	0.63163435	0.6316343545913696
39	1633921542517325824	en	everyone	2023-03-09 20:03:47+00:00	jada pinkett smith made will smith her clown thats not on chris rock ##redtabletalk #chrisrocklive	4764748704		1633921542517325824	['1633921542517325824']	0	0	0	0	23					{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	neutral		0.1872296	0.73800784	0.07476257	0.7380078434944153
40	1633921064731377664	en	everyone	2023-03-09 20:01:53+00:00	rt  sagesurge marlon wayans roasting chris rock about the will smith slap#selectiveoutrage #chrisrocklive #chrisrock #chrisrocknetflix	544997919	[{'type': 'retweeted', 'id': '1632525319973289985'}]	1633921064731377664	['1633921064731377664']	9130	0	0	0	0					{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.1531}	neutral		0.15525307	0.7643216	0.080425225	0.7643216252326965
41	1633918529136218112	en	everyone	2023-03-09 19:51:48+00:00	rt  ohdoctah my thoughts on #chrisrocklive  it wasnt the best comedy special every but it was perfect on the payout of his message #sele	1519278903268982784	[{'type': 'retweeted', 'id': '1632806850079981569'}]	1633918529136218112	['1633918529136218114']	8	0	0	0	0					{'neg': 0.0, 'neu': 0.64, 'pos': 0.36, 'compound': 0.882}	positive		0.041632593	0.31655028	0.64181703	0.641817033290863
42	1633917770449539072	en	everyone	2023-03-09 19:48:47+00:00	rt  radiorahimtv after party still  #chrisrocklive  #selectiveoutrage https  tco xp5qm4zag5	1581995818826997760	[{'type': 'retweeted', 'id': '1632265342843072516'}]	1633917770449539072	['1633917770449539072']	34	0	0	0	0					{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.4019}	neutral		0.046642106	0.85264796	0.10070999	0.8526479601860046
43	1633916779624820736	en	everyone	2023-03-09 19:44:51+00:00	rt  sagesurge marlon wayans roasting chris rock about the will smith slap#selectiveoutrage #chrisrocklive #chrisrock #chrisrocknetflix	1633906375129481216	[{'type': 'retweeted', 'id': '1632525319973289985'}]	1633916779624820736	['1633916779624820736']	9130	0	0	0	0					{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.1531}	neutral		0.15525307	0.7643216	0.080425225	0.7643216252326965
44	1633915286381535232	en	everyone	2023-03-09 19:38:55+00:00	rt  sagesurge marlon wayans roasting chris rock about the will smith slap#selectiveoutrage #chrisrocklive #chrisrock #chrisrocknetflix	2945456977	[{'type': 'retweeted', 'id': '1632525319973289985'}]	1633915286381535232	['1633915286381535232']	9130	0	0	0	0					{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.1531}	neutral		0.15525307	0.7643216	0.080425225	0.7643216252326965
45	1633914747014770688	en	everyone	2023-03-09 19:36:47+00:00	rt  1_ofakindnocap chris rock we all been cheated on but we never had the person who cheated on us interview us on tv i sucked his 	297378267	[{'type': 'retweeted', 'id': '1632283297588948995'}]	1633914747014770688	['1633914747014770688']	616	0	0	0	0					{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.891}	negative		0.87597626	0.11714716	0.006876567	0.8759762644767761
46	1633914187293310976	en	everyone	2023-03-09 19:34:33+00:00	rt  1_ofakindnocap chris rock we all been cheated on but we never had the person who cheated on us interview us on tv i sucked his 	2750363866	[{'type': 'retweeted', 'id': '1632283297588948995'}]	1633914187293310976	['1633914187293310983']	616	0	0	0	0					{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.891}	negative		0.87597626	0.11714716	0.006876567	0.8759762644767761
47	1633912864695263232	en	everyone	2023-03-09 19:29:18+00:00	rt  chrisrock get ready mynext standup special selective outrage will be streaming live on netflix march 4 at 10pm et 7pm pt #chrisroc	713136731738996736	[{'type': 'retweeted', 'id': '1607051315276021760'}]	1633912864695263232	['1633912864695263237']	695	0	0	0	0					{'neg': 0.12, 'neu': 0.691, 'pos': 0.189, 'compound': 0.2263}	neutral		0.008128928	0.7536299	0.23824115	0.7536299228668213
48	1633910029437882368	en	everyone	2023-03-09 19:18:02+00:00	the last laugh the rise and fall of comedian chris https  tco ja9hozd89y via  youtube #chrisrock #chrisrocklive #willsmith #comedian #thursdaythoughts #ripbig	1065979702916071424		1633910029437882368	['1633910029437882377']	0	0	0	0	49					{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0.7351}	neutral		0.016209764	0.78788406	0.19590609	0.7878840565681458
49	1633908243335630848	en	everyone	2023-03-09 19:10:56+00:00	rt  _sexiir3d chris rock gt paid 40 million dollars for 1 hour of his time amp  he spent approximately 4 mins of that 1 hour addressing will	789740881322450944	[{'type': 'retweeted', 'id': '1632854119173050369'}]	1633908243335630848	['1633908243335630848']	22	0	0	0	0					{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.2732}	neutral		0.24691176	0.6859553	0.067132965	0.685955286026001
50	1633907092649066496	en	everyone	2023-03-09 19:06:22+00:00	rt  thewantonwench when you say i need a break from harry and meghan and this is what welcomes you  when you hope back in via #chrisro	343467588	[{'type': 'retweeted', 'id': '1632893264494772226'}]	1633907092649066496	['1633907092649066531']	83	0	0	0	0					{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.6808}	positive		0.022127021	0.45876783	0.5191052	0.5191051959991455
51	1633906950999248896	en	everyone	2023-03-09 19:05:48+00:00	rt  tasterreblanche  sagesurge he also said #chrisrockselectiveoutrage  #chrisrocklive https  tco 26mm0n2yv5	789740881322450944	[{'type': 'retweeted', 'id': '1632830373305409538'}]	1633906950999248896	['1633906950999248896']	237	0	0	0	0					{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	neutral		0.07427032	0.86184996	0.06387975	0.8618499636650085
52	1633904944519446528	en	everyone	2023-03-09 18:57:49+00:00	rt  sagesurge marlon wayans roasting chris rock about the will smith slap#selectiveoutrage #chrisrocklive #chrisrock #chrisrocknetflix	1571669835737595904	[{'type': 'retweeted', 'id': '1632525319973289985'}]	1633904944519446528	['1633904944519446528']	9130	0	0	0	0					{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.1531}	neutral		0.15525307	0.7643216	0.080425225	0.7643216252326965
53	1633900543721521152	en	everyone	2023-03-09 18:40:20+00:00	rt  1_ofakindnocap chris rock we all been cheated on but we never had the person who cheated on us interview us on tv i sucked his 	1469633717912092672	[{'type': 'retweeted', 'id': '1632283297588948995'}]	1633900543721521152	['1633900543721521176']	616	0	0	0	0					{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.891}	negative		0.87597626	0.11714716	0.006876567	0.8759762644767761
54	1633898744608374784	en	everyone	2023-03-09 18:33:11+00:00	rt  anshumor revenge is a dish best served cold #selectiveoutrage #chrisrocklive  https  tco 8dvlpt3e23	1492206928382115840	[{'type': 'retweeted', 'id': '1632650968327426050'}]	1633898744608374784	['1633898744608374795']	52	0	0	0	0					{'neg': 0.205, 'neu': 0.542, 'pos': 0.253, 'compound': 0.2023}	neutral		0.21482769	0.67564	0.10953233	0.6756399869918823
55	1633898414839590912	en	everyone	2023-03-09 18:31:53+00:00	rt  sagesurge marlon wayans roasting chris rock about the will smith slap#selectiveoutrage #chrisrocklive #chrisrock #chrisrocknetflix	1163545145972842496	[{'type': 'retweeted', 'id': '1632525319973289985'}]	1633898414839590912	['1633898414839590913']	9130	0	0	0	0					{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.1531}	neutral		0.15525307	0.7643216	0.080425225	0.7643216252326965
56	1633897012117553152	en	everyone	2023-03-09 18:26:18+00:00	rt  olubodunchase good deal v clean 2010 toyota venza a year and half use fullest option with panoramic toks standard nothing to fix	2760193043	[{'type': 'retweeted', 'id': '1633724591007846402'}]	1633897012117553152	['1633897012117553174']	5	0	0	0	0					{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.6808}	positive		0.026489545	0.30850133	0.66500914	0.6650091409683228
57	1633896496465682432	en	everyone	2023-03-09 18:24:15+00:00	rt  1_ofakindnocap chris rock we all been cheated on but we never had the person who cheated on us interview us on tv i sucked his 	44598095	[{'type': 'retweeted', 'id': '1632283297588948995'}]	1633896496465682432	['1633896496465682432']	616	0	0	0	0					{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.891}	negative		0.87597626	0.11714716	0.006876567	0.8759762644767761
58	1633891128746360832	en	everyone	2023-03-09 18:02:55+00:00	rt  netflix its live turn on netflix right now to watch #chrisrocklive  chrisrock https  tco lhuzlysdrj	1265704713019940864	[{'type': 'retweeted', 'id': '1632214347421483009'}]	1633891128746360832	['1633891128746360840']	293	0	0	0	0					{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	neutral		0.0070231897	0.6952107	0.2977661	0.6952106952667236
59	1633890727116652544	en	everyone	2023-03-09 18:01:20+00:00	rt  sagesurge marlon wayans roasting chris rock about the will smith slap#selectiveoutrage #chrisrocklive #chrisrock #chrisrocknetflix	935810624403238912	[{'type': 'retweeted', 'id': '1632525319973289985'}]	1633890727116652544	['1633890727116652544']	9130	0	0	0	0					{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.1531}	neutral		0.15525307	0.7643216	0.080425225	0.7643216252326965
60	1633887635532922880	en	everyone	2023-03-09 17:49:03+00:00	rt  1_ofakindnocap chris rock we all been cheated on but we never had the person who cheated on us interview us on tv i sucked his 	517064290	[{'type': 'retweeted', 'id': '1632283297588948995'}]	1633887635532922880	['1633887635532922880']	616	0	0	0	0					{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.891}	negative		0.87597626	0.11714716	0.006876567	0.8759762644767761
