	referenced_tweets	id	conversation_id	author_id	lang	text	created_at	reply_settings	edit_history_tweet_ids	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count	in_reply_to_user_id	geo.place_id	geo.coordinates.type	geo.coordinates.coordinates
10	[{'type': 'retweeted', 'id': '1633593892011376640'}]	1633951004348542978	1633951004348542978	427743501	en	"RT @MauriceWFP: This is the wrong decision, @SenSchumer. 

We can't support DC statehood in one breath and then strip DC voters of self-det…"	2023-03-09T22:00:51.000Z	everyone	['1633951004348542978']	43	0	0	0	0				
11	[{'type': 'replied_to', 'id': '1633947872126181376'}]	1633950545080623105	1633947872126181376	296031938	en	@SkyNews Palestinian People Rise Up ! Reject the resistance groups. Find a unified leadership capable of negotiating statehood when the theatre is ready. Winning with Israel by resistance or moral arguments is dreamland. Disputes close in end negotiation not by David fighting Goliath	2023-03-09T21:59:01.000Z	everyone	['1633950545080623105']	0	0	0	0	20	7587032			
12	[{'type': 'retweeted', 'id': '1633593892011376640'}]	1633950260224483328	1633950260224483328	542589629	en	"RT @MauriceWFP: This is the wrong decision, @SenSchumer. 

We can't support DC statehood in one breath and then strip DC voters of self-det…"	2023-03-09T21:57:54.000Z	everyone	['1633950260224483328']	43	0	0	0	0				
13		1633950215177658368	1633950215177658368	1593059909213556736	en	"The vote by the US Congress not to give Washington DC statehood is correct. Why? Take the example of the handling of the DC program called ""Stay DC."" Thousands of taxpayer dollars were mishandled by DC government's employees because they did not understand the program's laws."	2023-03-09T21:57:43.000Z	everyone	['1633950215177658368']	0	0	0	0	1				
14	[{'type': 'retweeted', 'id': '1633627246412824576'}]	1633950040338100224	1633950040338100224	615192377	en	RT @LWV: We stand with the residents of Washington, DC, in their quest for statehood, as we continue to advocate for all American voters, r…	2023-03-09T21:57:01.000Z	everyone	['1633950040338100224']	20	0	0	0	0				
15		1633949856933859328	1633949856933859328	1596263430759108611	en	@DCHealthLink I wish I could be surprised that DC Health Link was so incompetent as to release our most sensitive personal data.  But I was not surprised. Failure is business as usual for DC Govt.  We have no right to seek statehood and need the ongoing supervision by Congress.	2023-03-09T21:56:17.000Z	everyone	['1633949856933859328']	0	0	0	0	0	1601865428			
16	[{'type': 'replied_to', 'id': '1633853183398125568'}]	1633949617778749440	1633588995052523522	3187062259	en	@Eduardo55368577 @julito77 @LULAC Wait a minute we did not side with Statehood and you will see our recently passed resolutions for self determination passed in Texas and California. Corrupt PR lulacers were impeached and suspended from our board. Stay tuned.	2023-03-09T21:55:20.000Z	everyone	['1633949617778749440']	0	0	0	0	1	883766831256936448			
17	[{'type': 'replied_to', 'id': '1633853065257205763'}]	1633949522215804929	1633846941040668674	1109584542946521090	en	@tlccourville @atrupar If the DNC has any sense, Stacey Plaskett will be a household name. She was brilliant in Trump’s second impeachment trial. Now he has proven herself to be the antidote for Gym Jordan. I would support statehood for USVI just so she could vote in the House. The woman is awesome.	2023-03-09T21:54:58.000Z	everyone	['1633949522215804929']	0	0	1	0	7	790626212183994368			
18	[{'type': 'retweeted', 'id': '1633625994052399106'}]	1633949507250520064	1633949507250520064	1038013351	en	RT @DemocracyDocket: “D.C. statehood is the only way to ensure American citizens living in Washington, D.C. have full representation in Con…	2023-03-09T21:54:54.000Z	everyone	['1633949507250520064']	95	0	0	0	0				
19	[{'type': 'retweeted', 'id': '1633882887073169410'}]	1633949266799480832	1633949266799480832	43931662	en	"RT @RepRashida: For the first time in over 30 years, Congress voted to overturn local DC legislation.

If @POTUS truly supports DC statehoo…"	2023-03-09T21:53:57.000Z	everyone	['1633949266799480832']	35	0	0	0	0				
20	[{'type': 'retweeted', 'id': '1633882887073169410'}]	1633949194636460032	1633949194636460032	15666343	en	"RT @RepRashida: For the first time in over 30 years, Congress voted to overturn local DC legislation.

If @POTUS truly supports DC statehoo…"	2023-03-09T21:53:39.000Z	everyone	['1633949194636460032']	35	0	0	0	0				
21	[{'type': 'replied_to', 'id': '1633359057124839425'}]	1633949001803513856	1633359057124839425	888544483800883200	en	"@FranceskAlbs @opiniojuris How can it be occupied pal. territory if the palestinians never had sovereign control of that territory b4 ""occupation""? Israel is the sole sovereign power in the former Mandate palestine and is therefore inheritor of ALL the land. Jordanian occupation ≠ palestinian statehood"	2023-03-09T21:52:53.000Z	everyone	['1633949001803513856']	0	0	0	0	11	1511471391157239812			
22	[{'type': 'retweeted', 'id': '1633893752149344256'}]	1633948583190839296	1633948583190839296	802868663095279616	en	"RT @apadillafilm6: Praising a Gov Puerto Rico removed thru historic protest in 2019?

That's what Pro US Statehood party @GovPierluisi did…"	2023-03-09T21:51:14.000Z	everyone	['1633948583190839296']	4	0	0	0	0				
23	[{'type': 'retweeted', 'id': '1633823714448928768'}]	1633948123763552258	1633948123763552258	870782044430753792	en	RT @BeachCity55: DC is a hell hole that doesn't deserve statehood.	2023-03-09T21:49:24.000Z	everyone	['1633948123763552258']	21	0	0	0	0				
24	[{'type': 'retweeted', 'id': '1633882887073169410'}]	1633947575559544832	1633947575559544832	360115360	en	"RT @RepRashida: For the first time in over 30 years, Congress voted to overturn local DC legislation.

If @POTUS truly supports DC statehoo…"	2023-03-09T21:47:13.000Z	everyone	['1633947575559544832']	35	0	0	0	0				
25	[{'type': 'retweeted', 'id': '1633230383478185985'}]	1633947228740960257	1633947228740960257	191491085	en	RT @petulad: A reminder about their messaging: House GOP vote blocking D.C. local bills isn’t politics. It’s prejudice. https://t.co/BK4ffw…	2023-03-09T21:45:51.000Z	everyone	['1633947228740960257']	3	0	0	0	0				
26	[{'type': 'retweeted', 'id': '1633857506836455425'}]	1633947099254407169	1633947099254407169	191491085	en	RT @petulad: It appears that some folks came all the way to Capitol Hill to be our council members. Let’s let ‘em have it: Call those senat…	2023-03-09T21:45:20.000Z	everyone	['1633947099254407169']	1	0	0	0	0				
27	[{'type': 'retweeted', 'id': '1633662516009005056'}]	1633946653903265796	1633946653903265796	22982941	en	RT @CatholicGirl15: @ChrisMurphyCT @SIfill_ That's why DC should have statehood! DC should be the 51st state. Then offer statehood to Guam,…	2023-03-09T21:43:34.000Z	everyone	['1633946653903265796']	1	0	0	0	0				
28	[{'type': 'retweeted', 'id': '1633641088253665282'}]	1633946643342008321	1633946643342008321	898717830841085952	en	RT @TomFitton: Breaking: In a historic repudiation of leftist DC statehood agenda and soft-on-crime radicalism, US Senate votes 81-14 (incl…	2023-03-09T21:43:31.000Z	everyone	['1633946643342008321']	380	0	0	0	0				
29	[{'type': 'retweeted', 'id': '1633673846476910594'}]	1633946372121542657	1633946372121542657	22982941	en	RT @LightandPhoto: @ChrisMurphyCT Hopefully this will jumpstart the DC statehood movement!!!  DC Statehood Now!!!	2023-03-09T21:42:27.000Z	everyone	['1633946372121542657']	1	0	0	0	0				
30	[{'type': 'retweeted', 'id': '1633629960387567616'}]	1633946001504346112	1633946001504346112	104520184	en	RT @igorbobic: “And if Republicans are finally ready to address crime instead of blow hot air, then John is ready to work with them. John s…	2023-03-09T21:40:58.000Z	everyone	['1633946001504346112']	39	0	0	0	0				
31	[{'type': 'retweeted', 'id': '1633569254829174789'}]	1633945782272311298	1633945782272311298	2278250079	en	RT @HHawety: The majority of Gurage Zone voters have passed a bill in favor of Gurage regional statehood &amp; self-administration. Ethiopian g…	2023-03-09T21:40:06.000Z	everyone	['1633945782272311298']	5	0	0	0	0				
32	[{'type': 'retweeted', 'id': '1633890173367795733'}]	1633945577036865536	1633945577036865536	1591249038120480768	en	RT @Svrdm3626: I think if you're in Congress and you genuinely don't like the DC bill but you support statehood, this is how you ought to v…	2023-03-09T21:39:17.000Z	everyone	['1633945577036865536']	1	0	0	0	0				
33	[{'type': 'retweeted', 'id': '1633944315482509313'}]	1633945095811792896	1633945095811792896	1442783542212059142	en	RT @NomadicPhilNZ: @lambchopnosauce Globalist sabotage of colonial systems while ethnocentric statehood is set up in the backroom to slide…	2023-03-09T21:37:22.000Z	everyone	['1633945095811792896']	1	0	0	0	0				
34	[{'type': 'retweeted', 'id': '1633603296035323924'}]	1633945062923984903	1633945062923984903	547670327	en	RT @EricMGarcia: .@AOC lays into the Biden administration for supporting Republicans’ bill to block DC’s crime law. “supporting statehood,…	2023-03-09T21:37:14.000Z	everyone	['1633945062923984903']	222	0	0	0	0				
35	[{'type': 'retweeted', 'id': '1633798853013929986'}]	1633944834707972096	1633944834707972096	1252709650300129280	en	RT @FArunachalee: Former CM Gegong Apang is often credited with the introduction of cash-for-vote in the electoral process of Orunasol Pord…	2023-03-09T21:36:20.000Z	everyone	['1633944834707972096']	2	0	0	0	0				
36	[{'type': 'replied_to', 'id': '1631392285182009376'}]	1633944766470819840	1631392285182009376	462605973	en	@POTUS Why would this tiny place need statehood it’s not even a county	2023-03-09T21:36:04.000Z	everyone	['1633944766470819840']	0	0	0	0	1	1349149096909668363			
37	[{'type': 'replied_to', 'id': '1632493185753657346'}]	1633944723374186499	1632493185753657346	1600148366716985351	en	"@KeithRuscitti There were specific reasons why DC was set aside without statehood, and it should stay that way.

Just imagine how corrupt, and in control, a 51st state, 100% democrat controlled would be."	2023-03-09T21:35:53.000Z	everyone	['1633944723374186499']	0	0	0	0	1	1296079645859864576			
38	[{'type': 'retweeted', 'id': '1633220795614003200'}]	1633944620240457728	1633944620240457728	93558188	en	RT @WildPalmsLtd: DC should have been made a state years ago. The GOP is afraid it would automatically go blue. And they're likely correct.…	2023-03-09T21:35:29.000Z	everyone	['1633944620240457728']	77	0	0	0	0				
39		1633944378942324736	1633944378942324736	1607829266212732933	en	🧕🏼 I was born in Lajas and have lived here my whole life. I oppose statehood for Puerto Rico because our language, culture, and national identity is different from that of the U.S. and predates that of the U.S.	2023-03-09T21:34:31.000Z	everyone	['1633944378942324736']	0	0	0	0	4				
40	[{'type': 'replied_to', 'id': '1633543357896224768'}]	1633944315482509313	1633543357896224768	1582495424560390145	en	@lambchopnosauce Globalist sabotage of colonial systems while ethnocentric statehood is set up in the backroom to slide in under the guise of decolonisation.	2023-03-09T21:34:16.000Z	everyone	['1633944315482509313']	1	0	0	0	7	1442783542212059142			
41	[{'type': 'replied_to', 'id': '1633940444395761664'}]	1633944077828780034	1633645845269688320	164422716	en	@Lurch682 @ConallZach @warrior_jcruse @StephenM @ChrisMurphyCT Check out the statehood proposal. Gives us statehood, keeps the federal enclave as federally independent, and satisfies all constitutional requirements	2023-03-09T21:33:20.000Z	everyone	['1633944077828780034']	0	1	0	0	25	1520359301960781826			
42	[{'type': 'retweeted', 'id': '1633882887073169410'}]	1633943985419960320	1633943985419960320	1666575164	en	"RT @RepRashida: For the first time in over 30 years, Congress voted to overturn local DC legislation.

If @POTUS truly supports DC statehoo…"	2023-03-09T21:32:57.000Z	everyone	['1633943985419960320']	35	0	0	0	0				
43	[{'type': 'replied_to', 'id': '1633939616477720578'}]	1633943849180569602	1633645845269688320	1475688293975027714	en	"@Sam_I_Am_ATX @phZander @warrior_jcruse @StephenM @ChrisMurphyCT You know. I know. Everyone knows. This is about DC statehood and political power in Congress. 

You reject how representation works for DC residents disguising people as second class citizens when they are not. 

The argument is purely emotional."	2023-03-09T21:32:25.000Z	everyone	['1633943849180569602']	0	1	0	0	5	558385164			
44	[{'type': 'replied_to', 'id': '1633562596623151107'}]	1633943800262303745	1633562596623151107	1502956148806361089	en	@ChuckModi1 This is a result of failing to pass the statehood bill. It will happen, can't say when but will take a Dem trifecta that has enough space to lose Manchin and Sinema is done in 24.	2023-03-09T21:32:13.000Z	everyone	['1633943800262303745']	0	0	0	0	3	728604440			
45	[{'type': 'retweeted', 'id': '1633911897324912643'}]	1633943412360503297	1633943412360503297	1032769460405501957	en	RT @StoicSkeptical: Putting aside the fact that making DC a state would require a constitutional amendment which will never happen, DC stat…	2023-03-09T21:30:41.000Z	everyone	['1633943412360503297']	8	0	0	0	0				
46	[{'type': 'retweeted', 'id': '1633603296035323924'}]	1633943277798825986	1633943277798825986	1099485578289135616	en	RT @EricMGarcia: .@AOC lays into the Biden administration for supporting Republicans’ bill to block DC’s crime law. “supporting statehood,…	2023-03-09T21:30:09.000Z	everyone	['1633943277798825986']	222	0	0	0	0				
47	[{'type': 'retweeted', 'id': '1633601464647012353'}]	1633943052329922563	1633943052329922563	1075212227924377601	en	"RT @DiasporaCorner: ""Major developments are emerging from Las Anod &amp; soon it will be a rude awakening for those who thought their blue revo…"	2023-03-09T21:29:15.000Z	everyone	['1633943052329922563']	5	0	0	0	0				
48		1633942259879092224	1633942259879092224	829520965902163969	en	"I would like AZ Republicans to explain why it is they want to remove Tucson's charter, which predates Arizona statehood btw. Is it because the residents of Tucson need to do what the state government tells them to? 

Not too freedom-y, if you ask me. https://t.co/E4xOA6KOG9"	2023-03-09T21:26:06.000Z	everyone	['1633942259879092224']	0	0	0	0	83				
49	[{'type': 'retweeted', 'id': '1269682598663553030'}]	1633942157693456384	1633942157693456384	1075072107191578624	en	"RT @eclector1419857: Oct'14

TRS’s statehood martyrs, once 2,000, now 459

https://t.co/NwwyR3Hpbb"	2023-03-09T21:25:42.000Z	everyone	['1633942157693456384']	116	0	0	0	0				
50	[{'type': 'quoted', 'id': '1633629075464941568'}]	1633941962175725568	1633941962175725568	1580292804290519046	en	This is why DC needs statehood asap. https://t.co/hmn5JDJGvn	2023-03-09T21:24:55.000Z	everyone	['1633941962175725568']	0	0	0	0	3				
51	[{'type': 'retweeted', 'id': '1633628487318745089'}]	1633941735880511493	1633941735880511493	888500161785339905	en	"RT @RepPressley: DC has the right to self-govern and pass laws that truly keep our communities safe.

This harmful action by Congress is a…"	2023-03-09T21:24:01.000Z	everyone	['1633941735880511493']	80	0	0	0	0				
52	[{'type': 'retweeted', 'id': '1633614596723417090'}]	1633941600425369607	1633941600425369607	143966306	en	RT @langstrategies: The @councilofdc has set statehood back many years by not thinking through the political ramifications of their actions.	2023-03-09T21:23:29.000Z	everyone	['1633941600425369607']	2	0	0	0	0				
53	[{'type': 'retweeted', 'id': '1633761818324910080'}]	1633941503318929410	1633941503318929410	819675218	en	"RT @GroovyChic1960s: Florida #FL09 Vote Darren Soto
Hes for: 
Social security
Gun safety reform
Renewable energy
Puerto Rico statehood
Envi…"	2023-03-09T21:23:06.000Z	everyone	['1633941503318929410']	18	0	0	0	0				
54	[{'type': 'replied_to', 'id': '1633910782357385216'}]	1633941339237928960	1633910782357385216	931364029146185729	en	"@NBCNews Say ""No"", now and always, to DC statehood."	2023-03-09T21:22:27.000Z	everyone	['1633941339237928960']	0	0	0	0	6	14173315			
55	[{'type': 'retweeted', 'id': '1633877300801306626'}]	1633941187940823041	1633941187940823041	2816147879	en	RT @RF_OSCE: #Buyakevich: The West simply does not leave #Ukraine a chance to be a prosperous State that would live in peace with its neigh…	2023-03-09T21:21:51.000Z	everyone	['1633941187940823041']	6	0	0	0	0				
56	[{'type': 'retweeted', 'id': '1631132621945073665'}]	1633941157771190273	1633941157771190273	1893763549	en	RT @Paultx890: Just a reminder Puerto Rico has a population larger than N. Dakota, S. Dakota and Wyoming COMBINED.  The only reason PR does…	2023-03-09T21:21:43.000Z	everyone	['1633941157771190273']	1348	0	0	0	0				
57	[{'type': 'replied_to', 'id': '1633937914286555136'}]	1633941001185157120	1633920098028142596	1507135902103048194	en	@nhialgdeng Well u have a point but it's almost 70 years now since most African countries gained statehood since then it's been the same story and excuses,the west this and the west that,instead of focusing on building systems and institutions with  our resources we are still blaming others	2023-03-09T21:21:06.000Z	everyone	['1633941001185157120']	0	1	0	0	8	4610971101			
58	[{'type': 'retweeted', 'id': '1633911897324912643'}]	1633940987574624258	1633940987574624258	1420446922750496768	en	RT @StoicSkeptical: Putting aside the fact that making DC a state would require a constitutional amendment which will never happen, DC stat…	2023-03-09T21:21:03.000Z	everyone	['1633940987574624258']	8	0	0	0	0				
59	[{'type': 'replied_to', 'id': '1633939172598886401'}]	1633940751120736261	1633905511610368024	22476583	en	@cliddle @ev_advocate @cuneytdil @Rep_Clyde @RepGarbarino I’m not in favor of them overturning this and I support DC statehood, but Congress people do work in DC and spend a lot of time there.	2023-03-09T21:20:06.000Z	everyone	['1633940751120736261']	0	0	0	0	27	55982224			
60	[{'type': 'replied_to', 'id': '1633939487024726016'}]	1633940700629721089	1633933097006772225	820607323	en	@eastbank_dc Was in PennBranch today meeting with a neighbor about the stream, but tonight after DPR youth basketball here’s a live look at my late night statehood strategizing: https://t.co/7R44QGW7vQ	2023-03-09T21:19:54.000Z	everyone	['1633940700629721089']	0	1	2	0	21	1441763653	01fbe706f872cb32		
61	[{'type': 'replied_to', 'id': '1633938439942066176'}]	1633940523827228673	1633911139963662337	437069785	en	@CincinnatusMis1 @RepCori @POTUS No, I fully support it - which is clear in its requirements in D.C. statehood: 1) Capitol Grounds has to be independent of statehood, and 2) Capitol Grounds can’t be more than 10 square miles big…D.C. is just under 69 square miles - that’s a lot of area to make a state	2023-03-09T21:19:12.000Z	everyone	['1633940523827228673']	0	0	0	0	3	1088512738115178501			
62	[{'type': 'replied_to', 'id': '1633933097006772225'}]	1633940487097704450	1633933097006772225	989917831176376321	en	"@JBurchDC I sort of want a bag with ""$$$$"" and ""statehood riches"" on it now. 
Please show me your ways. I would LOVE to enrich myself via the ""statehood movement"". I've stupidly been making sure all of the money goes directly to candidates who support statehood."	2023-03-09T21:19:03.000Z	everyone	['1633940487097704450']	0	1	1	0	64	820607323			
63	[{'type': 'retweeted', 'id': '1633641088253665282'}]	1633940379610300419	1633940379610300419	1596388547765981184	en	RT @TomFitton: Breaking: In a historic repudiation of leftist DC statehood agenda and soft-on-crime radicalism, US Senate votes 81-14 (incl…	2023-03-09T21:18:38.000Z	everyone	['1633940379610300419']	380	0	0	0	0				
64	[{'type': 'replied_to', 'id': '1633905511610368024'}]	1633940262127915008	1633905511610368024	595684176	en	@cuneytdil Republicans are going to regret this when it triggers a DC statehood movement	2023-03-09T21:18:10.000Z	everyone	['1633940262127915008']	0	0	1	0	81	301789519			
65	[{'type': 'retweeted', 'id': '1633603296035323924'}]	1633940154501955588	1633940154501955588	56153827	en	RT @EricMGarcia: .@AOC lays into the Biden administration for supporting Republicans’ bill to block DC’s crime law. “supporting statehood,…	2023-03-09T21:17:44.000Z	everyone	['1633940154501955588']	222	0	0	0	0				
66		1633939837156831236	1633939837156831236	1511040833683865609	en	"Trump and some another politicians should realize that language and ethnity does not define statehood. I can speak russian but this absolutely not mean that I'm russian and place where I live should be russia's territory. 
 #RussiaisATerroistState #RussiaUkraineWar #Ukraine️"	2023-03-09T21:16:28.000Z	everyone	['1633939837156831236']	0	3	1	0	69				
67	[{'type': 'replied_to', 'id': '1633928651837440001'}]	1633939797696991232	1633926312619573249	158398234	en	Rather than cities on federal lands, we could have offshore platform based cities. These could be like synthetic US territories and work towards statehood. They could have low regulations on immigration, medicine, and so on. Navy could supply them with nuclear power	2023-03-09T21:16:19.000Z	everyone	['1633939797696991232']	0	1	0	0	8	158398234			
68	[{'type': 'retweeted', 'id': '1633863444884758529'}]	1633939746836840450	1633939746836840450	3774260352	en	RT @Lee_in_Iowa: It's time to give statehood to all who are part of the United States--DC, the Virgin Islands, Puerto Rico.	2023-03-09T21:16:07.000Z	everyone	['1633939746836840450']	8	0	0	0	0				
69	[{'type': 'replied_to', 'id': '1633936956693282820'}]	1633939616477720578	1633645845269688320	558385164	en	@ConallZach @phZander @warrior_jcruse @StephenM @ChrisMurphyCT Do you even understand that no part of this dialogue, beginning with the original Tweet, says anything about D.C. statehood? That you are literally the only person in this conversation bringing up that concept?	2023-03-09T21:15:36.000Z	everyone	['1633939616477720578']	0	1	0	0	9	1475688293975027714			
70	[{'type': 'replied_to', 'id': '1633933097006772225'}]	1633939487024726016	1633933097006772225	1441763653	en	@JBurchDC After you spend your days as a dedicated civil servant restoring our waterways you go home and count all that statehood advocacy money. https://t.co/6NmjzwGh4h	2023-03-09T21:15:05.000Z	everyone	['1633939487024726016']	0	1	3	0	22	820607323			
71	[{'type': 'retweeted', 'id': '1633656621208354816'}]	1633939437733158913	1633939437733158913	428800081	en	RT @EvanMGlass: @ChrisVanHollen Marylanders for DC statehood! https://t.co/ovvGsKyLNL	2023-03-09T21:14:53.000Z	everyone	['1633939437733158913']	3	0	0	0	0				
72		1633939259110432769	1633939259110432769	19873152	en	I just wrote a @theactionnet letter, sponsored by @dc4d, @HarrietsDreams &amp; @DCVote  to tell Congress #HandsOffDC! DC Statehood NOW. Write one here: https://t.co/Qw8qqIWToB	2023-03-09T21:14:11.000Z	everyone	['1633939259110432769']	2	0	0	0	43				
73	[{'type': 'retweeted', 'id': '1633642869570371588'}]	1633939243809619975	1633939243809619975	48059767	en	RT @RSwirling: Dem Senators who sold out DC statehood tonight: Baldwin, Bennet, Blumenthal, Sherrie Brown, Cantwell, Casey, Coons, Cortez M…	2023-03-09T21:14:07.000Z	everyone	['1633939243809619975']	38	0	0	0	0				
74	[{'type': 'replied_to', 'id': '1633938480995901442'}]	1633939086800035842	1633645845269688320	164422716	en	@Lurch682 @ConallZach @warrior_jcruse @StephenM @ChrisMurphyCT Don’t need to amend it for statehood tho	2023-03-09T21:13:30.000Z	everyone	['1633939086800035842']	0	1	0	0	24	1520359301960781826			
75	[{'type': 'retweeted', 'id': '1631502407132672001'}]	1633938858231332868	1633938858231332868	1504182795165483008	en	RT @AOC: This ain’t it. DC has a right to govern itself, like any other state or municipality. If the President supports DC statehood, he s…	2023-03-09T21:12:35.000Z	everyone	['1633938858231332868']	2200	0	0	0	0				
76	[{'type': 'retweeted', 'id': '1633680333580439555'}]	1633938829198360577	1633938829198360577	1504182795165483008	en	RT @traceyecorder: You can’t seriously support DC statehood and support this resolution. These are the 14 who stood against it: https://t.c…	2023-03-09T21:12:28.000Z	everyone	['1633938829198360577']	22	0	0	0	0				
77	[{'type': 'retweeted', 'id': '1631434999261003776'}]	1633938712810618881	1633938712810618881	1504182795165483008	en	RT @Public_Citizen: This is not what “supporting DC statehood and home-rule” means… https://t.co/oxoJAzJdBE	2023-03-09T21:12:00.000Z	everyone	['1633938712810618881']	59	0	0	0	0				
78	[{'type': 'retweeted', 'id': '1633823714448928768'}]	1633938147770867713	1633938147770867713	73975700	en	RT @BeachCity55: DC is a hell hole that doesn't deserve statehood.	2023-03-09T21:09:46.000Z	everyone	['1633938147770867713']	21	0	0	0	0				
79	[{'type': 'quoted', 'id': '1633602097752035328'}]	1633938137905868807	1633938137905868807	1077085773822865408	en	My folks thought that DC and the beltway was hell on earth, but didn't went there. Until I went to college there and they visited and had their minds completely changed. Now they're advocates of DC statehood and love the DMV https://t.co/QWQzL68zAm	2023-03-09T21:09:43.000Z	everyone	['1633938137905868807']	0	0	0	0	2		319ee7b36c9149da		
80	[{'type': 'quoted', 'id': '1633625880680448000'}]	1633937934935105536	1633937934935105536	824407045227089920	en	Yeah, the Dems are obviously not gonna be interested in granting DC statehood if they're overturning their bills in Congress like this. https://t.co/sD8bxWQCwY	2023-03-09T21:08:55.000Z	everyone	['1633937934935105536']	0	0	2	0	47				
81	[{'type': 'retweeted', 'id': '1633641088253665282'}]	1633937820493520897	1633937820493520897	1346512243324817408	en	RT @TomFitton: Breaking: In a historic repudiation of leftist DC statehood agenda and soft-on-crime radicalism, US Senate votes 81-14 (incl…	2023-03-09T21:08:28.000Z	everyone	['1633937820493520897']	380	0	0	0	0				
82	[{'type': 'retweeted', 'id': '1633642690058256387'}]	1633937699785564160	1633937699785564160	1113502059058335745	en	RT @treeaston: Allies disappoint. Winning hard fights—like statehood for DC—isn’t ever as quick or clean as we like, and there will be setb…	2023-03-09T21:07:59.000Z	everyone	['1633937699785564160']	11	0	0	0	0				
83	[{'type': 'replied_to', 'id': '1633882887073169410'}]	1633937603362783232	1633882887073169410	34642297	en	"@RepRashida @POTUS Don’t !  There was a reason the Capitol of our government was not located in side of a state! Maybe if you’d learn something you’d know that! The problem with DC is that the majority of people living there work for the government! 

NO! To DC statehood!"	2023-03-09T21:07:36.000Z	everyone	['1633937603362783232']	0	0	0	0	5	1079769536730140672			
