	conversation_id	lang	reply_settings	created_at	clean_text	text	author_id	referenced_tweets	id	edit_history_tweet_ids	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.impression_count	in_reply_to_user_id	geo.place_id	withheld.copyright	withheld.country_codes	geo.coordinates.type	geo.coordinates.coordinates	textblob_Polarity	textblob_Subjectivity	vader_Polarity	vader_Subjectivity	AFINN_scores	AFINN_sentiments	SentiWordNet_scores	normalized_textblob_Polarity	normalized_textblob_Subjectivity	normalized_vader_Polarity	normalized_vader_Subjectivity	normalized_AFINN_scores	normalized_SentiWordNet_scores	our_label	annotator	roberta_content	roberta_polarity	roberta_sentiment	keyword	normalized_roberta_polarity	textblob_label	vader_label	AFINN_label	SentiWordNet_label	roberta_label
6823	1633973511713611776	en	everyone	2023-03-09 23:30:17	check this out chatgpt is now available in microsofts azure openai service https  tco pt3prg79ci	Check this out! ChatGPT is now available in Microsoft’s Azure OpenAI service https://t.co/pt3PRG79ci	803684341322747904		1633973511713611776	['1633973511713611776']	0	0	0	5							0.4	0.4	0.0	0.0	0	neutral	0.375	0.7000000000000001	0.4	0.49916434540000004	0.0	0.48979591840000003	0.46031746030000004			Check this out! ChatGPT is now available in Microsoft’s Azure OpenAI service http	0.6410769224	positive	chatgpt	0.9225609989	positive	neutral	neutral	neutral	positive
24138	1633545857936265216	en	everyone	2023-03-08 20:46:46	 brutapologist broke dc statehood  51st state  woke dc statehood  independent republic 	"@brutapologist Broke: DC Statehood (51st state) 
Woke: DC Statehood (independent republic)"	1151747648761651200	[{'type': 'replied_to', 'id': '1633545857936265216'}]	1633569972898390016	['1633569972898390017']	0	0	1	17	555579293.0						0.0	0.125	-0.42150000000000004	0.219	-1	negative	0.125	0.5	0.125	0.2856925804	0.2444196429	0.4693877551	0.4285714286			"@user Broke: DC Statehood (51st state) 
Woke: DC Statehood (independent republic)"	0.0099996682	neutral	statehood	0.5023021015	neutral	negative	neutral	neutral	neutral
3672	1633080234806321152	en	everyone	2023-03-07 12:20:43	let me watch #chrisrocklive #selectiveoutrage	Let me watch #ChrisRockLive #Selectiveoutrage	4836923710		1633080234806321152	['1633080234806321153']	0	0	0	72							0.0	0.0	0.0	0.0	0	neutral	0.0	0.5	0.0	0.49916434540000004	0.0	0.48979591840000003	0.4126984127			Let me watch #ChrisRockLive #Selectiveoutrage	-0.13909244540000001	neutral	#chrisrocklive	0.4030158622	neutral	neutral	neutral	neutral	neutral
14641	1633657731318988800	en	everyone	2023-03-09 02:35:29	rt  tomfitton obama knew clinton knew biden knew comey knew brennan knew mccabe knew strzok knewclapper knewschiff knewfbi knewd	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1033120315159793664	[{'type': 'retweeted', 'id': '1633625411845345280'}]	1633657731318988800	['1633657731318988800']	3316	0	0	0							0.0	0.0	0.0	0.0	0	neutral	0.0	0.5	0.0	0.49916434540000004	0.0	0.48979591840000003	0.4126984127			RT @user Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	-0.0099996645	neutral	obama	0.4889837677	neutral	neutral	neutral	neutral	neutral
19088	1633672227601145856	en	everyone	2023-03-09 03:33:05	there is a lot of curious military activity involving #nato forces and equipment that is not receiving much media scrutiny#ukrainewar #natorussiawar #ukrainerussiawar how threatening will those moves be perceived by russiahttps  tco 9boscok0v8	"«There is a lot of curious military activity involving #NATO forces and equipment that is not receiving much media scrutiny»
#UkraineWar #NatoRussiaWar #UkraineRussiaWar️ 

How threatening will those moves be perceived by Russia?

https://t.co/9bOScOK0v8"	1481101044067323904		1633672227601145856	['1633672227601145856']	0	0	0	108							0.0	0.4333333333	-0.2732	0.213	-1	negative	-0.125	0.5	0.4333333333	0.3608002026	0.2377232143	0.4693877551	0.3968253968			"«There is a lot of curious military activity involving #NATO forces and equipment that is not receiving much media scrutiny»
#UkraineWar #NatoRussiaWar #UkraineRussiaWar️ 

How threatening will those moves be perceived by Russia?

https://t.co/9bOScOK0v8"	-0.3274773955	negative	russia	0.27756299430000003	neutral	negative	neutral	neutral	negative
20391	1633669926635331584	en	everyone	2023-03-09 03:23:57	 alivelshi lawrence maddow chrislhayes mitchellreports gstephanopoulos berniesanders ewarren adamschiff edmarkey aoc ayannapressley rashidatlaib ilhansouth korea says it let poland send weapons to ukrainethat usedsome of its components https  tco ld7f9ph9d8	"@AliVelshi
@Lawrence
@maddow
@chrislhayes
@mitchellreports
@GStephanopoulos
@BernieSanders
@ewarren
@AdamSchiff
@EdMarkey
@AOC
@AyannaPressley
@RashidaTlaib
@Ilhan
South Korea says it let Poland send weapons to Ukraine that used some of its components. https://t.co/Ld7F9PH9D8"	1499528258479706112		1633669926635331584	['1633669926635331587']	0	0	0	5	16378486.0						0.0	0.0	-0.296	0.073	0	neutral	-0.25	0.5	0.0	0.3492529754	0.0814732143	0.48979591840000003	0.380952381			@user Korea says it let Poland send weapons to Ukraine that used some of its components. http	-0.27290508150000004	negative	russia	0.3139048215	neutral	negative	neutral	neutral	negative
28872	1633874932433321984	en	everyone	2023-03-09 16:58:34	rt  lvivtyler according to wikipedia  asking why ukraine was shelling donbass for 8 years is now disinformation propaganda https  tco e	RT @LvivTyler: According to Wikipedia, asking why Ukraine was shelling Donbass for 8 years is now disinformation/propaganda. https://t.co/E…	2453096596	[{'type': 'retweeted', 'id': '1633085434602602496'}]	1633874932433321984	['1633874932433321984']	442	0	0	0							-0.1	0.1	-0.25	0.133	-2	negative	0.5	0.45	0.1	0.3725500127	0.1484375	0.4489795918	0.4761904762			RT @user According to Wikipedia, asking why Ukraine was shelling Donbass for 8 years is now disinformation/propaganda. http	-0.6527067423	negative	ukraine	0.060980118300000004	neutral	negative	neutral	neutral	negative
7392	1633967490538651648	en	everyone	2023-03-09 23:06:22	rt  daveleeft the audacity of chatgpt adding a verify you are human check box on login	"RT @DaveLeeFT: The audacity of ChatGPT adding a ""verify you are human"" check box on log-in"	20947597	[{'type': 'retweeted', 'id': '1633966721601253376'}]	1633967490538651648	['1633967490538651648']	2	0	0	0							0.0	0.1	0.0	0.0	0	neutral	0.25	0.5	0.1	0.49916434540000004	0.0	0.48979591840000003	0.4444444444			"RT @user The audacity of ChatGPT adding a ""verify you are human"" check box on log-in"	-0.658409059	negative	chatgpt	0.0571827237	neutral	neutral	neutral	neutral	negative
12361	1633669603023900672	en	everyone	2023-03-09 03:22:40	rt  gregrubini boom       ukraine corruptionjohn kerry all of us were trying to get rid of that prosecutor me  joe biden and obama	"RT @GregRubini: BOOM !!   -   Ukraine corruption
John Kerry: ""All of us were trying to get rid of that Prosecutor: me, Joe Biden and Obama""…"	1516221011330576384	[{'type': 'retweeted', 'id': '1320412175421394947'}]	1633669603023900672	['1633669603023900678']	6757	0	0	0							0.0	0.0	0.0	0.0	-3	negative	0.25	0.5	0.0	0.49916434540000004	0.0	0.4285714286	0.4444444444			"RT @user BOOM !!   -   Ukraine corruption
John Kerry: ""All of us were trying to get rid of that Prosecutor: me, Joe Biden and Obama""…"	-0.3539917171	negative	obama	0.25990607590000003	neutral	neutral	neutral	neutral	negative
13826	1633639866356445184	en	everyone	2023-03-09 02:53:04	 simonateba  wrighttd  tuckercarlson they never thought shed lose plan b release the v obama funded via  us taxpayers in wuhan the cure would be a doubleedged sword bigph would make bs amp  millions would die agenda 21 in the works cv would ensure that mailin bs would secure the fraud rest was staged	"@simonateba @wrighttd @TuckerCarlson they never thought she'd lose: plan b: release the V Obama funded via  U.S. Taxpayers in Wuhan: the ""cure"" would be a double-edged sword: bigPh would make $B's &amp; Millions would die: Agenda 21 in the works: CV would ensure that mail-in B's would secure the fraud: rest was staged!"	2918911447	[{'type': 'replied_to', 'id': '1633639866356445186'}]	1633662154086961152	['1633662154086961153']	0	0	2	16	130003441.0						0.2	0.30000000000000004	-0.34890000000000004	0.294	-4	negative	-0.75	0.6000000000000001	0.30000000000000004	0.3224613826	0.328125	0.4081632653	0.31746031750000003			"@user @user @user they never thought she'd lose: plan b: release the V Obama funded via  U.S. Taxpayers in Wuhan: the ""cure"" would be a double-edged sword: bigPh would make $B's &amp; Millions would die: Agenda 21 in the works: CV would ensure that mail-in B's would secure the fraud: rest was staged!"	-0.6169093251000001	negative	obama	0.0848190112	neutral	negative	neutral	negative	negative
25142	1633259266323673088	en	everyone	2023-03-08 00:12:08	rt  billkristol still  much as i wish it were  this is not a hard call for biden and democrats most of them champion statehood for the d	RT @BillKristol: “Still, much as I wish it were, this is not a hard call for Biden and Democrats. Most of them champion statehood for the d…	1465425337714724864	[{'type': 'retweeted', 'id': '1632738169857667073'}]	1633259266323673088	['1633259266323673092']	17	0	0	0							-0.0458333333	0.3708333333	0.7351000000000001	0.5	2	positive	-0.875	0.4770833333	0.3708333333	0.8714611294	0.5580357143	0.5306122449	0.3015873016			RT @user “Still, much as I wish it were, this is not a hard call for Biden and Democrats. Most of them champion statehood for the d…	0.3627074659	positive	statehood	0.7371839471	neutral	positive	neutral	negative	positive
17928	1633674426767269888	en	everyone	2023-03-09 03:41:50	rt  jimmy_dore while you scream about russia invading ukraine  remember united states illegally invaded syria amp  is currently occupying 1 3	RT @jimmy_dore: While you scream about Russia invading Ukraine, remember United States illegally invaded Syria &amp; is CURRENTLY occupying 1/3…	1519490551661273088	[{'type': 'retweeted', 'id': '1633655341346074624'}]	1633674426767269888	['1633674426767269888']	391	0	0	0							-0.25	0.45	0.0258	0.28200000000000003	-4	negative	0.375	0.375	0.45	0.5122309445000001	0.3147321429	0.4081632653	0.46031746030000004			RT @user While you scream about Russia invading Ukraine, remember United States illegally invaded Syria &amp; is CURRENTLY occupying 1/3…	-0.5783634186000001	negative	russia	0.1104882301	negative	neutral	neutral	neutral	negative
23255	1633649446104735744	en	everyone	2023-03-09 02:14:52	 chitownsports dc is not a state  and i was born here  raised here  and live here should it have legit representation on capitol hill sure statehood hooey	@ChiTownSports D.C. is not a state, and I was born here, raised here, and live here. Should it have legit representation on Capitol Hill? Sure. Statehood? Hooey.	53519025	[{'type': 'replied_to', 'id': '1633649446104735744'}]	1633652541886955520	['1633652541886955522']	0	1	0	114	269062860.0						0.3181818182	0.6944444444	0.31820000000000004	0.161	0	neutral	-0.5	0.6590909091	0.6944444444	0.6603190681000001	0.1796875	0.48979591840000003	0.3492063492			@user D.C. is not a state, and I was born here, raised here, and live here. Should it have legit representation on Capitol Hill? Sure. Statehood? Hooey.	-0.2821348011	negative	statehood	0.3077583921	positive	positive	neutral	negative	negative
16149	1633650406894239744	en	everyone	2023-03-09 02:06:23	rt  judicialwatch trump would have been driven out of office by deep state biden obama clinton gang if judicial watch hadnt taken lead e	"RT @JudicialWatch: ""Trump would have been driven out of office by Deep State/Biden/Obama/Clinton gang if Judicial Watch hadn’t taken lead e…"	912104012257796096	[{'type': 'retweeted', 'id': '1633648806506950656'}]	1633650406894239744	['1633650406894239744']	105	0	0	0							0.0	0.4	0.0	0.0	0	neutral	0.625	0.5	0.4	0.49916434540000004	0.0	0.48979591840000003	0.4920634921			"RT @user ""Trump would have been driven out of office by Deep State/Biden/Obama/Clinton gang if Judicial Watch hadn’t taken lead e…"	-0.5716699958	negative	obama	0.1149456407	neutral	neutral	neutral	neutral	negative
6579	1633976085523095552	en	everyone	2023-03-09 23:40:31	rt  officialloozr loozr is the ai tool that rewards everyone for listening to music #listen2earn   #chatgpt   #memes https  tco 7r2i	"RT @officialloozr: Loozr is the AI tool that rewards everyone for listening to music! 🙄

#Listen2Earn | #ChatGPT | #Memes https://t.co/7R2I…"	1594101377445527552	[{'type': 'retweeted', 'id': '1633964646515220480'}]	1633976085523095552	['1633976085523095554']	18	0	0	0							0.0	0.0	0.5719000000000001	0.198	2	positive	0.625	0.5	0.0	0.7888072930000001	0.2209821429	0.5306122449	0.4920634921			"RT @user Loozr is the AI tool that rewards everyone for listening to music! 🙄

#Listen2Earn | #ChatGPT | #Memes http"	0.6410769224	positive	chatgpt	0.9225609989	neutral	positive	neutral	neutral	positive
21580	1633628902374494208	en	everyone	2023-03-09 17:19:44	 maustermuhle thank goodness congress stepped in to protect the residents of dc from the clown show that we call the city council dc is not ready for statehood	@maustermuhle Thank goodness Congress stepped in to protect the residents of DC from the clown show that we call the City Council. DC is not ready for statehood!	1633815563951538176	[{'type': 'replied_to', 'id': '1633628902374494209'}]	1633880259320741888	['1633880259320741894']	0	0	0	12	148868920.0						0.2	0.5	0.8625	0.46900000000000003	6	positive	0.513	0.6000000000000001	0.5	0.9359837934	0.5234375	0.612244898	0.4778412698			@user Thank goodness Congress stepped in to protect the residents of DC from the clown show that we call the City Council. DC is not ready for statehood!	-0.5005202293000001	negative	statehood	0.1623270385	neutral	positive	neutral	neutral	negative
23686	1633625531538198528	en	everyone	2023-03-09 00:27:32	rt  athertonkd statehood for dc	RT @AthertonKD: Statehood for DC	29229001	[{'type': 'retweeted', 'id': '1633621467941445633'}]	1633625531538198528	['1633625531538198534']	11	0	0	0							0.0	0.0	0.0	0.0	0	neutral	0.0	0.5	0.0	0.49916434540000004	0.0	0.48979591840000003	0.4126984127			RT @user Statehood for DC	0.0698858947	neutral	statehood	0.5421826698000001	neutral	neutral	neutral	neutral	neutral
3349	1633099738261143552	en	everyone	2023-03-07 13:38:13	rt  sagesurge marlon wayans roasting chris rock about the will smith slap#selectiveoutrage #chrisrocklive #chrisrock #chrisrocknetflix	"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	1069826196077203456	[{'type': 'retweeted', 'id': '1632525319973289985'}]	1633099738261143552	['1633099738261143553']	9130	0	0	0							0.0	0.0	0.1531	0.11800000000000001	0	neutral	0.0	0.5	0.0	0.5767029628	0.1316964286	0.48979591840000003	0.4126984127			"RT @user Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	-0.3274773955	negative	#chrisrocklive	0.27756299430000003	neutral	neutral	neutral	neutral	negative
2544	1633154839201955840	en	everyone	2023-03-07 17:17:10	rt  adoreyoucams https  tco be9vo9jjkbcum and subscribe to my new account  #newaccount #pictures #videos #onlyfansbabe #milf #hotmil	"RT @adoreyoucams: https://t.co/bE9vO9jJKB

Cum and subscribe to my new account 😘 
#NewAccount #pictures #videos #onlyfansbabe #milf #hotmil…"	1596546178845650944	[{'type': 'retweeted', 'id': '1632776161062158341'}]	1633154839201955840	['1633154839201955842']	4	0	0	0							0.13636363640000002	0.4545454545	0.0	0.0	0	neutral	0.375	0.5681818182	0.4545454545	0.49916434540000004	0.0	0.48979591840000003	0.46031746030000004			"RT @user http and subscribe to my new account 😘 
#NewAccount #pictures #videos #onlyfansbabe #milf #hotmil…"	0.5783634186000001	positive	#chrisrocklive	0.8807976367	neutral	neutral	neutral	neutral	positive
27522	1633876033790148608	en	everyone	2023-03-09 17:02:57	rt  dmytrokuleba russia launched a massive missile and drone attack on ukraine overnight  leading to loss of lives and damaging civilian i	RT @DmytroKuleba: Russia launched a massive missile and drone attack on Ukraine overnight, leading to loss of lives and damaging civilian i…	1326662243103236096	[{'type': 'retweeted', 'id': '1633749096946081793'}]	1633876033790148608	['1633876033790148625']	954	0	0	0							0.0	1.0	-0.802	0.481	-4	negative	-0.25	0.5	1.0	0.092985566	0.5368303571	0.4081632653	0.380952381			RT @user Russia launched a massive missile and drone attack on Ukraine overnight, leading to loss of lives and damaging civilian i…	-0.6910694838	negative	ukraine	0.0354328761	neutral	negative	neutral	neutral	negative
17949	1633674375743303680	en	everyone	2023-03-09 03:41:38	rt  lauras4t the people who are saying that #tuckercarlsonisaliar are the same people who still believe that president trump colluded with	RT @Lauras4T: The people who are saying that #TuckerCarlsonIsALiar are the same people who still believe that President Trump colluded with…	1361922547	[{'type': 'retweeted', 'id': '1633615091269500928'}]	1633674375743303680	['1633674375743303681']	507	0	0	0							0.0	0.0	0.0	0.0	0	neutral	-0.125	0.5	0.0	0.49916434540000004	0.0	0.48979591840000003	0.3968253968			RT @user The people who are saying that #TuckerCarlsonIsALiar are the same people who still believe that President Trump colluded with…	-0.6351489425	negative	russia	0.0726725403	neutral	neutral	neutral	neutral	negative
5561	1632538882179776512	en	everyone	2023-03-06 00:29:35	rt  thereidout  pastor_earle on activists demands in wake of #tyrenichols police brutality death stop pretextual traffic stops stop p	"RT @thereidout: .@Pastor_Earle on activists' demands in wake of #TyreNichols police brutality death: ""Stop pretextual traffic stops. Stop p…"	4637301258	[{'type': 'retweeted', 'id': '1620944749975707654'}]	1632538882179776512	['1632538882179776512']	23	0	0	0							0.0	0.0	-0.9325	0.593	-6	negative	-0.375	0.5	0.0	0.0268928843	0.6618303571	0.3673469388	0.3650793651			"RT @user .@Pastor_Earle on activists' demands in wake of #TyreNichols police brutality death: ""Stop pretextual traffic stops. Stop p…"	-0.4218990207	negative	#tyrenichols	0.2146839603	neutral	negative	negative	negative	negative
26309	1633877055996821504	en	everyone	2023-03-09 17:07:00	rt  ricwe123 the us nato orchestration of the 2014 maidan coup in ukraine victoria nuland had a hand in every us intervention in the pas	"RT @ricwe123: The US/NATO orchestration of the 2014 Maidan coup in Ukraine. 
Victoria Nuland had a hand in every US intervention in the pas…"	1519811864485634048	[{'type': 'retweeted', 'id': '1633785840844386305'}]	1633877055996821504	['1633877055996821505']	493	0	0	0							0.0	0.0	0.4939	0.186	0	neutral	0.5	0.5	0.0	0.7493036212	0.20758928570000001	0.48979591840000003	0.4761904762			"RT @user The US/NATO orchestration of the 2014 Maidan coup in Ukraine. 
Victoria Nuland had a hand in every US intervention in the pas…"	-0.5079774261000001	negative	ukraine	0.157361001	neutral	positive	neutral	neutral	negative
13885	1633661843737649152	en	everyone	2023-03-09 02:51:50	rt  tomfitton obama knew clinton knew biden knew comey knew brennan knew mccabe knew strzok knewclapper knewschiff knewfbi knewd	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1339058474584510464	[{'type': 'retweeted', 'id': '1633625411845345280'}]	1633661843737649152	['1633661843737649153']	3316	0	0	0							0.0	0.0	0.0	0.0	0	neutral	0.0	0.5	0.0	0.49916434540000004	0.0	0.48979591840000003	0.4126984127			RT @user Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	-0.0099996645	neutral	obama	0.4889837677	neutral	neutral	neutral	neutral	neutral
17023	1633675890533203968	en	everyone	2023-03-09 03:47:39	strategic lessons from the russiaukraine conflictby marc j berkowitzmarch 07  2023https  tco dtlrcmdjko	"Strategic Lessons from the Russia-Ukraine Conflict

By Marc J. Berkowitz
March 07, 2023

https://t.co/dtlRcMDjKO"	2189434015		1633675890533203968	['1633675890533203968']	0	0	0	12							0.0	0.0	-0.31820000000000004	0.17300000000000001	-2	negative	0.0	0.5	0.0	0.3380096227	0.19308035710000002	0.4489795918	0.4126984127			"Strategic Lessons from the Russia-Ukraine Conflict

By Marc J. Berkowitz
March 07, 2023

https://t.co/dtlRcMDjKO"	0.0099996682	neutral	russia	0.5023021015	neutral	negative	neutral	neutral	neutral
